word,phon
treif,tʁaɪf
startbereites,ʃtaʁtbəʁaɪtəs
Grünschnäbeln,ɡʁynʃnɛbln
Lebensmottos,lebnsmɔtos
Hohlhippe,holhɪpə
Rahnwerden,ʁanveɐdn
Landratsamts,lantʁatsʔamts
Plutokratien,plutokʁatiən
Kammrad,kamʁat
Bürotürmen,byʁotʏʁmən
Glasbläser,ɡlasblɛzɐ
unterschlag,ʊntɐʃlak
anstellest,anʃtɛləst
ersänge,ɛɐzɛŋə
bestoßend,bəʃtosnt
Gasplaneten,ɡasplanetn
Jaromir,jaʁɔmiʁ
Umweltdesaster,ʊmvɛltdezastɐ
beschämenderem,bəʃɛməndəʁəm
Vorzügen,foɐtsyɡn
entriegeln,ɛntʁiɡln
verpestend,fɛɐpɛstnt
freigäbe,fʁaɪɡɛbə
Prolo,pʁolo
Infinitivsatzes,ɪnfinitifzatsəs
Klinge,klɪŋə
schwammigem,ʃvamɪɡəm
kardinaler,kaʁdinalɐ
Argumente,aʁɡumɛntə
kontingentes,kɔntɪŋɡɛntəs
nachstelltet,naxʃtɛltət
schlauester,ʃlaʊəstɐ
Formverstoße,fɔʁmfɛɐʃtosə
laffster,lafstɐ
Beweisantrags,bəvaɪsʔantʁaks
Geruchsreizen,ɡəʁʊxsʁaɪtsn
Schweregrade,ʃveʁəɡʁadə
Tigerritterling,tiɡɐʁɪtɐlɪŋ
Unterhalte,ʊntɐhaltə
timokratischste,timokʁatɪʃstə
Klostermauer,klostɐmaʊɐ
tragfähigste,tʁakfɛɪçstə
Cashewnüsse,kɛʃunʏsə
Kiew,kiɛf
vorgeschlagen,foɐɡəʃlaɡn
Kurzreferats,kʊʁtsʁefeʁats
zäumst,tsɔɪmst
prangst,pʁaŋst
Charismata,kaʁɪsmata
Mehrlings,meɐlɪŋs
Hustenanfällen,hustnʔanfɛlən
Friedenspfeifen,fʁidnspfaɪfn
Antrag,antʁak
Netizens,nɛtɪzns
Essenmarken,ɛsnmaʁkn
prolongier,pʁolɔŋɡiɐ
eifere,aɪfəʁə
freister,fʁaɪstɐ
degagiertem,deɡaʒiɐtəm
bördelst,bœʁdlst
sorgest,zɔʁɡəst
zauberhaftem,tsaʊbɐhaftəm
kopuliertest,kopuliɐtəst
